麻疹精要,张璐
医案类语,皆川淇园
医按,程崙
圣济总录,宋徽宗(赵佶)
东医宝筌、目录,许浚等
小儿形症研悦,李盛春
眼科方筌前编,中目道
医学入门,李梃
东医宝鉴,许浚
日用本草,吴瑞
医学正传,虞抟
医学正传,虞天民
治疟必喻,张介宾
伤寒论,户上玄斐
黄帝内经素问钞,滑寿
袖珍方大全,李恒
眼科全书,袁学渊
证治要决,载元礼
辨惑论,李杲
医方大成抄,就安斋玄幽
医方大成,佚名
证治准绳,王肯堂
皮肤病论,虞鲁斯
名医方论,鄂尔泰等
证治淮绳,王肯堂
经史证类备急本草,王继先等
本草经,森立之
伤寒撮要,缪存济
素问,林亿等
备急千金要方,孙思邈
惠民和剂局方,陈师文等
妇人良方大全,陈自明
外台秘要方,王焘
本草蒙筌,陈嘉谟
诊宗三昧,张璐.张登
万病回春,龚廷贤
方舆,有持桂里
金匮要略,张机
千金翼方,孙思邈
苏沈良方,苏轼
言舆,有持桂里
北山医话,北山芳恂
金匮要略,张仲景
金匮玉函要略集注,山田业广
黄帝明堂灸经,佚名
名方类证医书大全,熊宗立
素问入式运气论舆,回生庵可敬
图解素问要旨论,刘守真
外科正宗,陈实功
药性要略大全,郑康宁
黄帝内经素问,王冰
明论医方,谢毓秀
幼科发挥,万全
济世全书,龚廷贤
寿世保元,龚廷贤
苏沈良方,沈括.苏轼
炮灸全书,稻生宜必(若水)
温疫论,吴有性
医学入门,李
医书六种,徐大椿
扶寿精方,吴旻
行余医言,香川修德
余,尾台逸
红疹方,李宪吉
寓意草,喻昌
本草备要,汪昂
本草备要二首目,汪昂
本草备要四附经络歌括医方汤头歌括,汪昂
愿体广类二集,史典
太平惠民和剂局方,陈师文
医方口诀集,土佐道寿
医通纂要,张璐
本草纲目启蒙,小野职博
本草纲目,李时珍
古今方汇,甲贺通元
巢氏诸病源候总论,巢元方等
儒门事亲,张子和
孙真人备急千金要方三十目录,孙思邈
太平惠民和剂局方,阙名
素问玄机原病式,刘完素
断毒论,
麝考卷,附录
雅,陆佃
伤寒金镜录,薛己
草古义,冈村尚谦
黄帝内经素问,佚名
黄帝内经素问,附遗篇一卷
释文黄帝内经素问遗篇一灵枢经,王冰
何首乌解说,菊地西治
黄先生医书八种,黄元御(坤戴)
诸病源候总论,巢元方
本草拾遗,陈藏器
小儿痘疹方论,陈文中
圣济总录,徽宗
太平圣惠方一百,王怀隐等
金匮钩玄,朱震亨
脉因证治,朱震亨
铜人腧穴针灸图经,王惟一
如宜妙济回生捷录,陈嘉
大观本草,徐三友
针灸大全,徐凤
太医院颁行内外诸科方论百代医宗,涂绅
幼幼集成,陈复正
明医指掌,皇甫中
明医指掌,滑伯仁
明医指掌,皇云洲
众方规矩大全,南川道竹
痘疮经验方,朴英
仲景全书金匮要略论注,吴谦
仲景全书伤寒论注,张机
伤寒论注,吴谦等
伤寒论,张仲景
锦囊秘录,佚名
医喻经,(僧)施护
眼科审视瑶函,佚名
审视瑶函,傅仁宇
医道日用纲目,本乡正丰
肘后备急方,葛洪
丸散方,吉益东洞
玉函经,杜光庭
御药院方,许国祯等
御药院方十序目,许国祯等
癍论萃英,王好古
医垒元戎,王好古
此事难知,王好古(海藏)
增补士材三书,李中梓(士材)
医学入门,李挺
医学入门,佚名
医学入门,外集11卷）17册
外科要方,杉田锦肠
用药便览,日高信
伤寒直格,刘完素
伤寒论口义,河田华山
中藏经,华佗
薛氏内科医案,薛己
针灸易学,李守先
方极口诀,玄东山人
伤寒论,张机(仲景)
太素脉,张太素
女科撮要,薛己
本草纲目总目,图
医家人名录,白土龙峰
痘疹全集,冯楚瞻
医学正传,虞搏
医林改错,王清任
类证治裁,林佩琴
冷庐医话,陆以湉
幼科良方,张介宾
治疟心喻,张介宾
救急摘方,守拙
医贯,赵献可
袖珍方大全,王永辅
药能识,高良斋
药名考,小野职博
钱氏小儿方诀,熊宗立
药性记辨解,附录
内经素问灵枢合编,马莳
活幼全书,钱大用
疹子心法,殷方叔
证治类方,戴元礼
证治要诀,戴元礼
证治要诀,戴思恭
证治要诀,戴思恭（元礼）
治证类方,戴思恭
痘诊治法玉函集,丁凤
药性赋卷一至五,徐凤石
医方大成钞,孙允贤
薛氏医案附方,薛己
小儿药证直诀三附方别附,钱乙
先采药录,陈振
麻疹方,张璐
抱朴子内.外篇,葛洪
医宗必读,李中梓
医宗必读十序目,李中梓
锦囊外疗秘录,林子伯
锦囊外疗秘录,图目一卷
颐生微论,李中梓
士材三书,李中梓(士材)
经史类证备急本草,王继先等
经史证类备急本草,王继光
经史证类备急本草,王继先
药名便览,小森桃坞
诊宗三昧,张璐
备急千金要方,目录一卷
儒门事亲,张从正
外台秘要四十目录,王焘
本草蒙筌,陈延采
本草蒙筌十二附,陈嘉谟
难经统宗,秦越人
济氏良方,万表
广嗣纪要,万全
痘疹大成集览,汪若源
脉经,王叔和
图注脉诀规正,沈镜(微垣)
订补古今医鉴,龚信
古今医鉴,龚信
养生手引草卷下,岩濑传藏
本草从新,吴仪洛
遵生八笺,高濂
回春秘话,羽田锐治
万病回春,龚廷贤(子才)
幼科保赤心法图说,翁仲仁(嘉德)
伤寒论,张机
药名备考和训钞卷之一至七,丹波赖理
神农本草经,吴晋等
瘟疫论,吴有性
瘟疫论并翼诀,吴有性
岭南卫生方,李
岭南卫生方,释继洪
岭南卫生方二附募原偶记,李璆
卫生方,附募原偶记一卷
救急易方,赵季敷
救急易方,张约斋
本草纲目序目,
陈氏小儿病源方论,陈文中
妇人大全良方,陈自明
花冈书三,花冈撮要方四
活幼心书决证诗赋,曾世荣
金匮要略心典,张仲景
救荒本草补遗卷九,小野兰山
钱氏小儿药证直诀,阎孝忠
王朴庄伤寒论注,王丙(朴庄)
药名备考和训钞卷之一至七,再版
医学读书记,尤怡
种痘新书,张逊玉
周宪王救荒本草,徐光启
易简方论,王硕
]外科正宗,陈实功
妇人良方补遗大全,陈自明
洁古老人注王叔和脉诀,张元素
洁古老人注王叔和脉诀,王叔和
金匮要略方论,张仲景
金匮要略方论,张机
金匮要略方论,张机(仲景)
金匮要略方论,王叔和
类要图注本草,刘信
类要图注本草,刘信甫
名方类证医书大全抄,熊宗立
名方类证医书大全,熊均（宗立）
名方类证医书大全二十四序目,熊宗立
名方类证医书大全二十四医学源流,熊宗立
南北经验医方大成,孙允贤
伤寒论注解,成无已
万病回春集,龚云林
西方子明堂灸经,原题西方子
西方子明堂灸经,阙名
西方子明堂灸经,西方子
医方大成,孙允贤
医学正传：医学或问,虞抟
张仲景注解发微论,许叔微
证类图注本草,刘信甫
子午流注针经,何若愚
马医方,赵浚等
八十难经图要,熊宗立(勿听子)
孙真人千金方,孙思邈
穷乡便方,著者佚名
陶节庵家藏伤寒六书,陶华
陶节庵家藏伤寒书,陶华
伤寒六书,陶华
伤寒书,陶华
痰火点雪,龚居中
补铜人腧穴针灸图经,王惟一
补注释文黄帝内经素问,王冰
陈养晦先生伤寒五法,陈长卿(志明)
褚氏遗书,褚澄
丹溪先生医书纂要,卢和
东垣十书,李杲
风科本草治风药品,赵大中
风科集验名方,赵大中
福氏遗书,福澄
广成先生玉函经,杜光庭
和剂局方增广太平,陈师文等
河间刘守真伤寒论方·伤寒直格共三后集续集,刘守真
河间刘守真伤寒伤寒直格,刘守真
黄帝明堂灸经,圣惠法
黄帝明堂灸经,王怀隐
黄帝明堂炙经,著者佚名
黄帝内经灵枢,王冰
黄帝内经灵枢,史崧
黄帝内经灵枢集注,史崧
惠民御药院方,御药院
活人妙法针经,徐廷璋
监本安骥药方,著者佚名
简明医彀八首,张志宏
京本活人心方,涵虔子
类校妇人良方补遗大全,陈自明(良甫)
黎居士简易方论,黎民寿
刘河间伤寒直格,刘守真
秘传痘疹金镜录,翁仲仁
秘授外科百效全书,龚居中
明医秘传济世奇方)万疴必愈,沈应旸
明医秘传济世奇方万疴必愈,沈应
明医杂著,王纶
仁斋伤寒类书活人总括,杨士瀛
仁斋直指,附遗方论
仁斋直指方,杨士瀛
仁斋直指方论二十六目录,杨士瀛
仁斋直指方论正脉真经,杨士瀛
仁斋直指附遗方论,杨士(子)瀛
仁斋直指附遗方论,杨士赢
仁斋直指附遗方论,杨士瀛
伤寒家秘的本,陶华
伤寒家秘杀车槌法方,陶华
伤寒明理续论,陶华
伤寒琐言,陶华
伤寒提金,陶华
八太家参并名医方考)医家赤帜益辨全书,吴文炳
十四经发挥,许昌
十四经发挥,滑伯仁
十四经发挥,滑寿
十四经络发挥,滑寿
素问入式奥运气论,刘温舒
素问入式运气论奥,刘温舒
素问入式运气论奥,刘湿舒
素问入式运气论奥三附运气论奥得助图,刘温舒
太医院校正图注指南王叔和脉诀,王叔和
汤液本草,王好古
陶节庵家藏伤寒书,陶华(节庵)
通真子补注王叔和脉诀,王叔和
铜人针灸经,阙名
铜人针灸经,王惟一
万病回春,龚云林
万病回春,龚廷贤等
万氏家传幼科发挥,万全
王氏脉经,王叔和
王叔和脉诀,附新刊补注通真子脉要秘括二卷
王叔和脉诀图,附新刊勿听子俗解脉诀六卷
温故秘录,野乔伯迁(纯治)
勿听子俗解八十一难经,熊宗立
勿听子俗解八十一难经,图要一卷
勿听子俗解八十难经六图要,熊宗立
勿听子俗解脉诀,王叔和
晞范句解十一难经,
校正安骥集,著者佚名
袖珍方大全,朱棣
续添是斋百一选方,王璆
续添是斋百一选方,王
医家必用,孙应奎(东谷)
医林状言寿世保元,龚廷贤
医林状元济世全书,龚廷贤
医林状元寿世保元,龚廷贤
幼科百效全书,龚居中
玉机微义,刘纯
云林神彀,龚廷贤
张子和心镜,刘守真
张子和心镜直格别集,张子和
种杏仙方,龚廷贤
庄季裕编灸膏肓?穴法,庄绰
黄帝内经素问十二素问遗编,王冰
本草真诠,杨崇魁
活人心法,朱权
痘疹金镜录,翁仲仁
眼科七十二症全书,袁学渊
外科百效全书,龚居中
万疴必愈,沈应旸
伤寒类书活人总括,杨士瀛
小儿方论,杨士瀛
直指方论,杨士瀛
直指附遗方论,杨士瀛
仁汇编,彭用光
药性大全,叶文龄
是斋百一选方,王孟玉
是斋百一选方,王璆
百一选方,王璆
保生心鉴,铁峰居士
褚氏遗书,胡文焕
官板秘传加减十三方,徐用和
广嗣要语附论,俞桥
华佗内照图,旧本题华佗
黄氏遗书,黄元御(坤载)
济世全书,龚云林(廷贤)
脉诀刊误,戴起宗
脉诀刊误,戴起宗(同父)
脉诀刊误二附录,戴起宗
千金方,佚名
全补医方便懦,李杲
伤寒六书纂要辨疑,童养学
食鉴本草,宁源
寿亲养老书,陈直
素问悬解,黄元御
温隐居海上仙方,温大明
养生导引法,著者佚名
医林统要,黄惟亮
幼科急救推拿奇法,龚居中
丹溪秘藏幼科捷径全书,朱震亨
本草药性大全八首,王文洁
